example_id                                               | status | run_time        |
-------------------------------------------------------- | ------ | --------------- |
./spec/controllers/comments_controller_spec.rb[1:1:1]    | passed | 0.0497 seconds  |
./spec/controllers/comments_controller_spec.rb[1:1:2]    | passed | 0.8428 seconds  |
./spec/controllers/comments_controller_spec.rb[1:2:1]    | passed | 0.04995 seconds |
./spec/controllers/comments_controller_spec.rb[1:2:2]    | passed | 0.04128 seconds |
./spec/controllers/comments_controller_spec.rb[1:3:1]    | passed | 0.23734 seconds |
./spec/controllers/comments_controller_spec.rb[1:3:2]    | passed | 0.07717 seconds |
./spec/controllers/comments_controller_spec.rb[1:3:3]    | passed | 0.04006 seconds |
./spec/controllers/idea_controller_spec.rb[1:1:1]        | passed | 0.03171 seconds |
./spec/controllers/idea_controller_spec.rb[1:1:2]        | passed | 0.03613 seconds |
./spec/controllers/idea_controller_spec.rb[1:2:1]        | passed | 0.03578 seconds |
./spec/controllers/idea_controller_spec.rb[1:3:1]        | passed | 0.04136 seconds |
./spec/controllers/idea_controller_spec.rb[1:3:2]        | passed | 0.03435 seconds |
./spec/controllers/idea_controller_spec.rb[1:4:1]        | passed | 0.03705 seconds |
./spec/controllers/idea_controller_spec.rb[1:4:2]        | passed | 0.03113 seconds |
./spec/controllers/idea_controller_spec.rb[1:4:3]        | passed | 0.03143 seconds |
./spec/controllers/idea_controller_spec.rb[1:5:1]        | passed | 0.03289 seconds |
./spec/controllers/idea_controller_spec.rb[1:5:2]        | passed | 0.04439 seconds |
./spec/controllers/idea_controller_spec.rb[1:5:3]        | passed | 0.03424 seconds |
./spec/controllers/idea_controller_spec.rb[1:5:4]        | passed | 0.03531 seconds |
./spec/controllers/idea_controller_spec.rb[1:5:5]        | passed | 0.03439 seconds |
./spec/controllers/idea_controller_spec.rb[1:5:6]        | passed | 0.03241 seconds |
./spec/controllers/idea_controller_spec.rb[1:6:1]        | passed | 0.05632 seconds |
./spec/controllers/idea_controller_spec.rb[1:6:2]        | passed | 0.03018 seconds |
./spec/controllers/idea_controller_spec.rb[1:6:3]        | passed | 0.03177 seconds |
./spec/controllers/idea_controller_spec.rb[1:7:1]        | passed | 0.03351 seconds |
./spec/controllers/idea_controller_spec.rb[1:7:2]        | passed | 0.03789 seconds |
./spec/controllers/idea_controller_spec.rb[1:7:3]        | passed | 0.03283 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:1:1] | passed | 0.05044 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:1:2] | passed | 0.03902 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:2:1] | passed | 0.04759 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:2:2] | passed | 0.06307 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:2:3] | passed | 0.03601 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:3:1] | passed | 0.04642 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:3:2] | passed | 0.06138 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:3:3] | passed | 0.04174 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:4:1] | passed | 0.04877 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:4:2] | passed | 0.03966 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:4:3] | passed | 0.04656 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:5:1] | passed | 0.04797 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:5:2] | passed | 0.03872 seconds |
./spec/controllers/suggestions_controller_spec.rb[1:5:3] | passed | 0.03823 seconds |
./spec/features/creating_login_spec.rb[1:2]              | failed | 0.05059 seconds |
./spec/features/static_pages_spec.rb[1:1]                | passed | 0.05314 seconds |
